Infinitive,растерза́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растерза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расте́рзанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растерза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растерза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растерза́ю
2nd Sing,растерза́ешь
3rd Sing,растерза́ет
1st Pl,растерза́ем
2nd Pl,растерза́ете
3rd Pl,растерза́ют
Past M,растерза́л
Past F,растерза́ла
Past N,растерза́ло
Past PL,растерза́ли
Imp S,растерза́й
Imp PL,растерза́йте
