Infinitive,разгляде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разгляде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгляде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,разгляде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,разгляжу́
2nd Sing,разгляди́шь
3rd Sing,разгляди́т
1st Pl,разгляди́м
2nd Pl,разгляди́те
3rd Pl,разглядя́т
Past M,разгляде́л
Past F,разгляде́ла
Past N,разгляде́ло
Past PL,разгляде́ли
Imp S,разгляди́
Imp PL,разгляди́те
