Infinitive,разоблача́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разоблача́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разоблача́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разоблача́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разоблача́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,разоблача́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,разоблача́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,разоблача́ю
2nd Sing,разоблача́ешь
3rd Sing,разоблача́ет
1st Pl,разоблача́ем
2nd Pl,разоблача́ете
3rd Pl,разоблача́ют
Past M,разоблача́л
Past F,разоблача́ла
Past N,разоблача́ло
Past PL,разоблача́ли
Imp S,разоблача́й
Imp PL,разоблача́йте
