Infinitive,разжи́ться
Zaliznyak Class,16b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разжи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разжи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разживу́сь
2nd Sing,разживёшься
3rd Sing,разживётся
1st Pl,разживёмся
2nd Pl,разживётесь
3rd Pl,разживу́тся
Past M,разжи́лся
Past F,разжила́сь
Past N,разжило́сь
Past PL,разжили́сь
Imp S,разживи́сь
Imp PL,разживи́тесь
