Infinitive,расстро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расстро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расстро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расстро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расстро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расстро́ю
2nd Sing,расстро́ишь
3rd Sing,расстро́ит
1st Pl,расстро́им
2nd Pl,расстро́ите
3rd Pl,расстро́ят
Past M,расстро́ил
Past F,расстро́ила
Past N,расстро́ило
Past PL,расстро́или
Imp S,расстро́й
Imp PL,расстро́йте
