Infinitive,разлуча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разлуча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разлуча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разлуча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разлуча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разлуча́юсь
2nd Sing,разлуча́ешься
3rd Sing,разлуча́ется
1st Pl,разлуча́емся
2nd Pl,разлуча́етесь
3rd Pl,разлуча́ются
Past M,разлуча́лся
Past F,разлуча́лась
Past N,разлуча́лось
Past PL,разлуча́лись
Imp S,разлуча́йся
Imp PL,разлуча́йтесь
