Infinitive,распи́сываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распи́сывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,распи́сывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распи́сываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,распи́сывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распи́сываюсь
2nd Sing,распи́сываешься
3rd Sing,распи́сывается
1st Pl,распи́сываемся
2nd Pl,распи́сываетесь
3rd Pl,распи́сываются
Past M,распи́сывался
Past F,распи́сывалась
Past N,распи́сывалось
Past PL,распи́сывались
Imp S,распи́сывайся
Imp PL,распи́сывайтесь
