Infinitive,разжа́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разжа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разжа́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разжа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разжа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разожму́
2nd Sing,разожмёшь
3rd Sing,разожмёт
1st Pl,разожмём
2nd Pl,разожмёте
3rd Pl,разожму́т
Past M,разжа́л
Past F,разжа́ла
Past N,разжа́ло
Past PL,разжа́ли
Imp S,разожми́
Imp PL,разожми́те
