Infinitive,распростере́ть
Zaliznyak Class,9b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распростёрший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распростёртый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распростере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распростёрши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распростру́
2nd Sing,распрострёшь
3rd Sing,распрострёт
1st Pl,распрострём
2nd Pl,распрострёте
3rd Pl,распростру́т
Past M,распростёр
Past F,распростёрла
Past N,распростёрло
Past PL,распростёрли
Imp S,распростри́
Imp PL,распростри́те
