Infinitive,расхо́доваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расхо́дующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расхо́довавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расхо́дуясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расхо́довавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расхо́дуюсь
2nd Sing,расхо́дуешься
3rd Sing,расхо́дуется
1st Pl,расхо́дуемся
2nd Pl,расхо́дуетесь
3rd Pl,расхо́дуются
Past M,расхо́довался
Past F,расхо́довалась
Past N,расхо́довалось
Past PL,расхо́довались
Imp S,расхо́дуйся
Imp PL,расхо́дуйтесь
