Infinitive,расте́чься
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,растёкшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растёкшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,растеку́сь
2nd Sing,растечёшься
3rd Sing,растечётся
1st Pl,растечёмся
2nd Pl,растечётесь
3rd Pl,растеку́тся
Past M,растёкся
Past F,растекла́сь
Past N,растекло́сь
Past PL,растекли́сь
Imp S,растеки́сь
Imp PL,растеки́тесь
