Infinitive,распу́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,распу́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распу́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распу́хну
2nd Sing,распу́хнешь
3rd Sing,распу́хнет
1st Pl,распу́хнем
2nd Pl,распу́хнете
3rd Pl,распу́хнут
Past M,распу́х
Past F,распу́хла
Past N,распу́хло
Past PL,распу́хли
Imp S,распу́хни
Imp PL,распу́хните
