Infinitive,разрази́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разрази́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разрази́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разражу́сь
2nd Sing,разрази́шься
3rd Sing,разрази́тся
1st Pl,разрази́мся
2nd Pl,разрази́тесь
3rd Pl,разразя́тся
Past M,разрази́лся
Past F,разрази́лась
Past N,разрази́лось
Past PL,разрази́лись
Imp S,разрази́сь
Imp PL,разрази́тесь
