Infinitive,разру́шить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разру́шивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разру́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разру́шив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разру́шивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разру́шу
2nd Sing,разру́шишь
3rd Sing,разру́шит
1st Pl,разру́шим
2nd Pl,разру́шите
3rd Pl,разру́шат
Past M,разру́шил
Past F,разру́шила
Past N,разру́шило
Past PL,разру́шили
Imp S,разру́шь
Imp PL,разру́шьте
