Infinitive,разве́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разве́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разве́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разве́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разве́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разве́ю
2nd Sing,разве́ешь
3rd Sing,разве́ет
1st Pl,разве́ем
2nd Pl,разве́ете
3rd Pl,разве́ют
Past M,разве́ял
Past F,разве́яла
Past N,разве́яло
Past PL,разве́яли
Imp S,разве́й
Imp PL,разве́йте
