Infinitive,раздвига́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раздвига́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздвига́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздвига́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раздвига́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздвига́юсь
2nd Sing,раздвига́ешься
3rd Sing,раздвига́ется
1st Pl,раздвига́емся
2nd Pl,раздвига́етесь
3rd Pl,раздвига́ются
Past M,раздвига́лся
Past F,раздвига́лась
Past N,раздвига́лось
Past PL,раздвига́лись
Imp S,раздвига́йся
Imp PL,раздвига́йтесь
