Infinitive,рассчи́тывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассчи́тывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассчи́тывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассчи́тываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рассчи́тывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,рассчи́тывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,рассчи́тывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,рассчи́тываю
2nd Sing,рассчи́тываешь
3rd Sing,рассчи́тывает
1st Pl,рассчи́тываем
2nd Pl,рассчи́тываете
3rd Pl,рассчи́тывают
Past M,рассчи́тывал
Past F,рассчи́тывала
Past N,рассчи́тывало
Past PL,рассчи́тывали
Imp S,рассчи́тывай
Imp PL,рассчи́тывайте
