Infinitive,разноси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разнося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разноси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разнося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разноси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разношу́сь
2nd Sing,разно́сишься
3rd Sing,разно́сится
1st Pl,разно́симся
2nd Pl,разно́ситесь
3rd Pl,разно́сятся
Past M,разноси́лся
Past F,разноси́лась
Past N,разноси́лось
Past PL,разноси́лись
Imp S,разноси́сь
Imp PL,разноси́тесь
