Infinitive,разделя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разделя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разделя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разделя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разделя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разделя́юсь
2nd Sing,разделя́ешься
3rd Sing,разделя́ется
1st Pl,разделя́емся
2nd Pl,разделя́етесь
3rd Pl,разделя́ются
Past M,разделя́лся
Past F,разделя́лась
Past N,разделя́лось
Past PL,разделя́лись
Imp S,разделя́йся
Imp PL,разделя́йтесь
