Infinitive,разъе́хаться
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разъе́хавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разъе́хавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разъе́дусь
2nd Sing,разъе́дешься
3rd Sing,разъе́дется
1st Pl,разъе́демся
2nd Pl,разъе́детесь
3rd Pl,разъе́дутся
Past M,разъе́хался
Past F,разъе́халась
Past N,разъе́халось
Past PL,разъе́хались
Imp S,разъезжа́йся
Imp PL,разъезжа́йтесь
