Infinitive,разрисова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разрисова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разрисо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разрисова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разрисова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разрису́ю
2nd Sing,разрису́ешь
3rd Sing,разрису́ет
1st Pl,разрису́ем
2nd Pl,разрису́ете
3rd Pl,разрису́ют
Past M,разрисова́л
Past F,разрисова́ла
Past N,разрисова́ло
Past PL,разрисова́ли
Imp S,разрису́й
Imp PL,разрису́йте
