Infinitive,расцвести́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,расцве́тший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,расцвётший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расцве́тши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расцвётши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расцвету́
2nd Sing,расцветёшь
3rd Sing,расцветёт
1st Pl,расцветём
2nd Pl,расцветёте
3rd Pl,расцвету́т
Past M,расцвёл
Past F,расцвела́
Past N,расцвело́
Past PL,расцвели́
Imp S,расцвети́
Imp PL,расцвети́те
