Infinitive,разочарова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разочарова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разочаро́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разочарова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разочарова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разочару́ю
2nd Sing,разочару́ешь
3rd Sing,разочару́ет
1st Pl,разочару́ем
2nd Pl,разочару́ете
3rd Pl,разочару́ют
Past M,разочарова́л
Past F,разочарова́ла
Past N,разочарова́ло
Past PL,разочарова́ли
Imp S,разочару́й
Imp PL,разочару́йте
