Infinitive,разду́мывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,разду́мывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разду́мывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разду́мывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разду́мывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,разду́мывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,разду́мываю
2nd Sing,разду́мываешь
3rd Sing,разду́мывает
1st Pl,разду́мываем
2nd Pl,разду́мываете
3rd Pl,разду́мывают
Past M,разду́мывал
Past F,разду́мывала
Past N,разду́мывало
Past PL,разду́мывали
Imp S,разду́мывай
Imp PL,разду́мывайте
