Infinitive,разломи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разломи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разло́мленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разломи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разломи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разломлю́
2nd Sing,разло́мишь
3rd Sing,разло́мит
1st Pl,разло́мим
2nd Pl,разло́мите
3rd Pl,разло́мят
Past M,разломи́л
Past F,разломи́ла
Past N,разломи́ло
Past PL,разломи́ли
Imp S,разломи́
Imp PL,разломи́те
