Infinitive,разбреда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разбреда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбреда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разбреда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разбреда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разбреда́юсь
2nd Sing,разбреда́ешься
3rd Sing,разбреда́ется
1st Pl,разбреда́емся
2nd Pl,разбреда́етесь
3rd Pl,разбреда́ются
Past M,разбреда́лся
Past F,разбреда́лась
Past N,разбреда́лось
Past PL,разбреда́лись
Imp S,разбреда́йся
Imp PL,разбреда́йтесь
