Infinitive,расстреля́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расстреля́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расстре́лянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расстреля́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расстреля́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расстреля́ю
2nd Sing,расстреля́ешь
3rd Sing,расстреля́ет
1st Pl,расстреля́ем
2nd Pl,расстреля́ете
3rd Pl,расстреля́ют
Past M,расстреля́л
Past F,расстреля́ла
Past N,расстреля́ло
Past PL,расстреля́ли
Imp S,расстреля́й
Imp PL,расстреля́йте
