Infinitive,рассма́триваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рассма́тривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассма́тривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассма́триваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рассма́тривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рассма́триваюсь
2nd Sing,рассма́триваешься
3rd Sing,рассма́тривается
1st Pl,рассма́триваемся
2nd Pl,рассма́триваетесь
3rd Pl,рассма́триваются
Past M,рассма́тривался
Past F,рассма́тривалась
Past N,рассма́тривалось
Past PL,рассма́тривались
Imp S,рассма́тривайся
Imp PL,рассма́тривайтесь
