Infinitive,рассказа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассказа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расска́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассказа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,рассказа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расскажу́
2nd Sing,расска́жешь
3rd Sing,расска́жет
1st Pl,расска́жем
2nd Pl,расска́жете
3rd Pl,расска́жут
Past M,рассказа́л
Past F,рассказа́ла
Past N,рассказа́ло
Past PL,рассказа́ли
Imp S,расскажи́
Imp PL,расскажи́те
