Infinitive,раздроби́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раздроби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздроблённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,раздро́бленный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,раздроби́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,раздроби́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,раздроблю́
2nd Sing,раздроби́шь
3rd Sing,раздроби́т
1st Pl,раздроби́м
2nd Pl,раздроби́те
3rd Pl,раздробя́т
Past M,раздроби́л
Past F,раздроби́ла
Past N,раздроби́ло
Past PL,раздроби́ли
Imp S,раздроби́
Imp PL,раздроби́те
