Infinitive,разгада́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разгада́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разга́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разгада́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разгада́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разгада́ю
2nd Sing,разгада́ешь
3rd Sing,разгада́ет
1st Pl,разгада́ем
2nd Pl,разгада́ете
3rd Pl,разгада́ют
Past M,разгада́л
Past F,разгада́ла
Past N,разгада́ло
Past PL,разгада́ли
Imp S,разгада́й
Imp PL,разгада́йте
