Infinitive,распоряжа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распоряжа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,распоряжа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распоряжа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,распоряжа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распоряжа́юсь
2nd Sing,распоряжа́ешься
3rd Sing,распоряжа́ется
1st Pl,распоряжа́емся
2nd Pl,распоряжа́етесь
3rd Pl,распоряжа́ются
Past M,распоряжа́лся
Past F,распоряжа́лась
Past N,распоряжа́лось
Past PL,распоряжа́лись
Imp S,распоряжа́йся
Imp PL,распоряжа́йтесь
