Infinitive,расступи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расступи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расступи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,расступлю́сь
2nd Sing,рассту́пишься
3rd Sing,рассту́пится
1st Pl,рассту́пимся
2nd Pl,рассту́питесь
3rd Pl,рассту́пятся
Past M,расступи́лся
Past F,расступи́лась
Past N,расступи́лось
Past PL,расступи́лись
Imp S,расступи́сь
Imp PL,расступи́тесь
