Infinitive,разбу́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,разбу́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбу́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разбу́хну
2nd Sing,разбу́хнешь
3rd Sing,разбу́хнет
1st Pl,разбу́хнем
2nd Pl,разбу́хнете
3rd Pl,разбу́хнут
Past M,разбу́х
Past F,разбу́хла
Past N,разбу́хло
Past PL,разбу́хли
Imp S,разбу́хни
Imp PL,разбу́хните
