Infinitive,разве́шать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разве́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разве́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разве́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разве́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разве́шаю
2nd Sing,разве́шаешь
3rd Sing,разве́шает
1st Pl,разве́шаем
2nd Pl,разве́шаете
3rd Pl,разве́шают
Past M,разве́шал
Past F,разве́шала
Past N,разве́шало
Past PL,разве́шали
Imp S,разве́шай
Imp PL,разве́шайте
