Infinitive,распласта́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распласта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распла́станный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распласта́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распласта́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распласта́ю
2nd Sing,распласта́ешь
3rd Sing,распласта́ет
1st Pl,распласта́ем
2nd Pl,распласта́ете
3rd Pl,распласта́ют
Past M,распласта́л
Past F,распласта́ла
Past N,распласта́ло
Past PL,распласта́ли
Imp S,распласта́й
Imp PL,распласта́йте
