Infinitive,развести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разве́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разве́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разведу́
2nd Sing,разведёшь
3rd Sing,разведёт
1st Pl,разведём
2nd Pl,разведёте
3rd Pl,разведу́т
Past M,развёл
Past F,развела́
Past N,развело́
Past PL,развели́
Imp S,разведи́
Imp PL,разведи́те
