Infinitive,растро́гать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растро́гавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растро́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растро́гав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растро́гавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растро́гаю
2nd Sing,растро́гаешь
3rd Sing,растро́гает
1st Pl,растро́гаем
2nd Pl,растро́гаете
3rd Pl,растро́гают
Past M,растро́гал
Past F,растро́гала
Past N,растро́гало
Past PL,растро́гали
Imp S,растро́гай
Imp PL,растро́гайте
