Infinitive,располза́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,располза́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,располза́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,располза́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,располза́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,располза́юсь
2nd Sing,располза́ешься
3rd Sing,располза́ется
1st Pl,располза́емся
2nd Pl,располза́етесь
3rd Pl,располза́ются
Past M,располза́лся
Past F,располза́лась
Past N,располза́лось
Past PL,располза́лись
Imp S,располза́йся
Imp PL,располза́йтесь
