Infinitive,разори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разорю́
2nd Sing,разори́шь
3rd Sing,разори́т
1st Pl,разори́м
2nd Pl,разори́те
3rd Pl,разоря́т
Past M,разори́л
Past F,разори́ла
Past N,разори́ло
Past PL,разори́ли
Imp S,разори́
Imp PL,разори́те
