Infinitive,растолко́вывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растолко́вывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,растолко́вывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растолко́вываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,растолко́вывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,растолко́вывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,растолко́вывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,растолко́вываю
2nd Sing,растолко́вываешь
3rd Sing,растолко́вывает
1st Pl,растолко́вываем
2nd Pl,растолко́вываете
3rd Pl,растолко́вывают
Past M,растолко́вывал
Past F,растолко́вывала
Past N,растолко́вывало
Past PL,растолко́вывали
Imp S,растолко́вывай
Imp PL,растолко́вывайте
