Infinitive,расколо́ться
Zaliznyak Class,10c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расколо́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расколо́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,расколю́сь
2nd Sing,раско́лешься
3rd Sing,раско́лется
1st Pl,раско́лемся
2nd Pl,раско́летесь
3rd Pl,раско́лются
Past M,расколо́лся
Past F,расколо́лась
Past N,расколо́лось
Past PL,расколо́лись
Imp S,расколи́сь
Imp PL,расколи́тесь
