Infinitive,раскида́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раскида́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раски́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раскида́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раскида́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раскида́ю
2nd Sing,раскида́ешь
3rd Sing,раскида́ет
1st Pl,раскида́ем
2nd Pl,раскида́ете
3rd Pl,раскида́ют
Past M,раскида́л
Past F,раскида́ла
Past N,раскида́ло
Past PL,раскида́ли
Imp S,раскида́й
Imp PL,раскида́йте
