Infinitive,разве́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разве́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разве́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разве́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разве́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разве́шу
2nd Sing,разве́сишь
3rd Sing,разве́сит
1st Pl,разве́сим
2nd Pl,разве́сите
3rd Pl,разве́сят
Past M,разве́сил
Past F,разве́сила
Past N,разве́сило
Past PL,разве́сили
Imp S,разве́сь
Imp PL,разве́сьте
