Infinitive,раскрыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раскрыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раскрыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раскрыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раскрыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раскрыва́юсь
2nd Sing,раскрыва́ешься
3rd Sing,раскрыва́ется
1st Pl,раскрыва́емся
2nd Pl,раскрыва́етесь
3rd Pl,раскрыва́ются
Past M,раскрыва́лся
Past F,раскрыва́лась
Past N,раскрыва́лось
Past PL,раскрыва́лись
Imp S,раскрыва́йся
Imp PL,раскрыва́йтесь
