Infinitive,распра́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распра́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распра́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распра́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распра́влю
2nd Sing,распра́вишь
3rd Sing,распра́вит
1st Pl,распра́вим
2nd Pl,распра́вите
3rd Pl,распра́вят
Past M,распра́вил
Past F,распра́вила
Past N,распра́вило
Past PL,распра́вили
Imp S,распра́вь
Imp PL,распра́вьте
