Infinitive,размота́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,размота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,размо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,размота́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,размота́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,размота́ю
2nd Sing,размота́ешь
3rd Sing,размота́ет
1st Pl,размота́ем
2nd Pl,размота́ете
3rd Pl,размота́ют
Past M,размота́л
Past F,размота́ла
Past N,размота́ло
Past PL,размота́ли
Imp S,размота́й
Imp PL,размота́йте
