Infinitive,разброса́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разброса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбро́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разброса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разброса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разброса́ю
2nd Sing,разброса́ешь
3rd Sing,разброса́ет
1st Pl,разброса́ем
2nd Pl,разброса́ете
3rd Pl,разброса́ют
Past M,разброса́л
Past F,разброса́ла
Past N,разброса́ло
Past PL,разброса́ли
Imp S,разброса́й
Imp PL,разброса́йте
