Infinitive,развезти́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,развёзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,развезённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,развезя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,развёзши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,развезу́
2nd Sing,развезёшь
3rd Sing,развезёт
1st Pl,развезём
2nd Pl,развезёте
3rd Pl,развезу́т
Past M,развёз
Past F,развезла́
Past N,развезло́
Past PL,развезли́
Imp S,развези́
Imp PL,развези́те
