Infinitive,разруша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разруша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разруша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разруша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разруша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разруша́юсь
2nd Sing,разруша́ешься
3rd Sing,разруша́ется
1st Pl,разруша́емся
2nd Pl,разруша́етесь
3rd Pl,разруша́ются
Past M,разруша́лся
Past F,разруша́лась
Past N,разруша́лось
Past PL,разруша́лись
Imp S,разруша́йся
Imp PL,разруша́йтесь
