Infinitive,разма́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разма́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разма́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разма́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разма́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разма́жу
2nd Sing,разма́жешь
3rd Sing,разма́жет
1st Pl,разма́жем
2nd Pl,разма́жете
3rd Pl,разма́жут
Past M,разма́зал
Past F,разма́зала
Past N,разма́зало
Past PL,разма́зали
Imp S,разма́жь
Imp PL,разма́жьте
