Infinitive,раски́дывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раски́дывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раски́дывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раски́дываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раски́дывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,раски́дывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,раски́дывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,раски́дываю
2nd Sing,раски́дываешь
3rd Sing,раски́дывает
1st Pl,раски́дываем
2nd Pl,раски́дываете
3rd Pl,раски́дывают
Past M,раски́дывал
Past F,раски́дывала
Past N,раски́дывало
Past PL,раски́дывали
Imp S,раски́дывай
Imp PL,раски́дывайте
