Infinitive,разма́хивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,разма́хивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разма́хивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разма́хивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разма́хивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,разма́хивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,разма́хиваю
2nd Sing,разма́хиваешь
3rd Sing,разма́хивает
1st Pl,разма́хиваем
2nd Pl,разма́хиваете
3rd Pl,разма́хивают
Past M,разма́хивал
Past F,разма́хивала
Past N,разма́хивало
Past PL,разма́хивали
Imp S,разма́хивай
Imp PL,разма́хивайте
