Infinitive,раздви́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раздви́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздви́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,раздви́нусь
2nd Sing,раздви́нешься
3rd Sing,раздви́нется
1st Pl,раздви́немся
2nd Pl,раздви́нетесь
3rd Pl,раздви́нутся
Past M,раздви́нулся
Past F,раздви́нулась
Past N,раздви́нулось
Past PL,раздви́нулись
Imp S,раздви́нься
Imp PL,раздви́ньтесь
