Infinitive,распря́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распря́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распряжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распря́гши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,распрягу́
2nd Sing,распряжёшь
3rd Sing,распряжёт
1st Pl,распряжём
2nd Pl,распряжёте
3rd Pl,распрягу́т
Past M,распрёг
Past F,распрягла́
Past N,распрягло́
Past PL,распрягли́
Imp S,распряги́
Imp PL,распряги́те
