Infinitive,растека́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,растека́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,растека́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растека́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,растека́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растека́юсь
2nd Sing,растека́ешься
3rd Sing,растека́ется
1st Pl,растека́емся
2nd Pl,растека́етесь
3rd Pl,растека́ются
Past M,растека́лся
Past F,растека́лась
Past N,растека́лось
Past PL,растека́лись
Imp S,растека́йся
Imp PL,растека́йтесь
