Infinitive,распоя́саться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распоя́савшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распоя́савшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распоя́шусь
2nd Sing,распоя́шешься
3rd Sing,распоя́шется
1st Pl,распоя́шемся
2nd Pl,распоя́шетесь
3rd Pl,распоя́шутся
Past M,распоя́сался
Past F,распоя́салась
Past N,распоя́салось
Past PL,распоя́сались
Imp S,распоя́шься
Imp PL,распоя́шьтесь
