Infinitive,распространи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распространи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распространи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распространю́сь
2nd Sing,распространи́шься
3rd Sing,распространи́тся
1st Pl,распространи́мся
2nd Pl,распространи́тесь
3rd Pl,распространя́тся
Past M,распространи́лся
Past F,распространи́лась
Past N,распространи́лось
Past PL,распространи́лись
Imp S,распространи́сь
Imp PL,распространи́тесь
