Infinitive,располага́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,располага́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,располага́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,располага́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,располага́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,располага́юсь
2nd Sing,располага́ешься
3rd Sing,располага́ется
1st Pl,располага́емся
2nd Pl,располага́етесь
3rd Pl,располага́ются
Past M,располага́лся
Past F,располага́лась
Past N,располага́лось
Past PL,располага́лись
Imp S,располага́йся
Imp PL,располага́йтесь
