Infinitive,разбега́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разбега́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбега́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разбега́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разбега́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разбега́юсь
2nd Sing,разбега́ешься
3rd Sing,разбега́ется
1st Pl,разбега́емся
2nd Pl,разбега́етесь
3rd Pl,разбега́ются
Past M,разбега́лся
Past F,разбега́лась
Past N,разбега́лось
Past PL,разбега́лись
Imp S,разбега́йся
Imp PL,разбега́йтесь
