Infinitive,разворова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разворова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разворо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разворова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разворова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,развору́ю
2nd Sing,развору́ешь
3rd Sing,развору́ет
1st Pl,развору́ем
2nd Pl,развору́ете
3rd Pl,развору́ют
Past M,разворова́л
Past F,разворова́ла
Past N,разворова́ло
Past PL,разворова́ли
Imp S,развору́й
Imp PL,развору́йте
