Infinitive,распа́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распа́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распа́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распа́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распа́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распа́рю
2nd Sing,распа́ришь
3rd Sing,распа́рит
1st Pl,распа́рим
2nd Pl,распа́рите
3rd Pl,распа́рят
Past M,распа́рил
Past F,распа́рила
Past N,распа́рило
Past PL,распа́рили
Imp S,распа́рь
Imp PL,распа́рьте
