Infinitive,раздави́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раздави́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разда́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздави́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раздави́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздавлю́
2nd Sing,разда́вишь
3rd Sing,разда́вит
1st Pl,разда́вим
2nd Pl,разда́вите
3rd Pl,разда́вят
Past M,раздави́л
Past F,раздави́ла
Past N,раздави́ло
Past PL,раздави́ли
Imp S,раздави́
Imp PL,раздави́те
