Infinitive,раскрои́ть
Zaliznyak Class,4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раскрои́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раскро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раскрои́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раскрои́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раскрою́
2nd Sing,раскрои́шь
3rd Sing,раскрои́т
1st Pl,раскрои́м
2nd Pl,раскрои́те
3rd Pl,раскроя́т
Past M,раскрои́л
Past F,раскрои́ла
Past N,раскрои́ло
Past PL,раскрои́ли
Imp S,раскрои́
Imp PL,раскрои́те
